Period,Trade Flow,Reporter,Partner,2nd Partner,Customs Desc,Transport Mode,Commodity Code,Trade Value (US$),Net Weight(kg),Gross Weight,Qty Unit,Qty,Alternate Quantity unit,Alternate Quantity
2018,X,India,World,World,TOTAL CPC,TOTAL MOT,854233,"$839,689",,,u,677163,N/A,
2018,X,Singapore,World,World,TOTAL CPC,TOTAL MOT,854233,"$2,618,887,594",,,u,23921733650,N/A,
2018,X,Slovakia,World,World,TOTAL CPC,TOTAL MOT,854233,"$514,092",2293,,N/A,,N/A,
2018,X,Viet Nam,World,World,TOTAL CPC,TOTAL MOT,854233,"$415,450",,,N/A,,N/A,
2018,X,Slovenia,World,World,TOTAL CPC,TOTAL MOT,854233,"$1,437,338",14827,,N/A,,N/A,
2018,X,South Africa,World,World,TOTAL CPC,TOTAL MOT,854233,"$311,878",,,N/A,,N/A,
2018,X,Serbia,World,World,TOTAL CPC,TOTAL MOT,854239,"$743,311",826,,N/A,,N/A,
2018,X,India,World,World,TOTAL CPC,TOTAL MOT,854239,"$163,349,805",,,u,50103732,N/A,
2018,X,Singapore,World,World,TOTAL CPC,TOTAL MOT,854239,"$33,356,629,914",,,u,189048267220,N/A,
2018,X,Slovakia,World,World,TOTAL CPC,TOTAL MOT,854239,"$5,021,960",376471,,N/A,,N/A,
2018,X,Viet Nam,World,World,TOTAL CPC,TOTAL MOT,854239,"$779,510,651",,,N/A,,N/A,
2018,X,Slovenia,World,World,TOTAL CPC,TOTAL MOT,854239,"$7,347,777",14883,,N/A,,N/A,
2018,X,South Africa,World,World,TOTAL CPC,TOTAL MOT,854239,"$4,592,016",,,N/A,,N/A,
2018,X,Serbia,World,World,TOTAL CPC,TOTAL MOT,854290,"$2,820",,,kg,8,N/A,
2018,X,Seychelles,World,World,TOTAL CPC,TOTAL MOT,854290,"$17,999",55,,kg,55,kg,55
2018,X,India,World,World,TOTAL CPC,TOTAL MOT,854290,"$2,087,180",42263,,kg,42263,N/A,
2018,X,Singapore,World,World,TOTAL CPC,TOTAL MOT,854290,"$1,799,834,813",,,kg,5291073,N/A,
2018,X,Slovakia,World,World,TOTAL CPC,TOTAL MOT,854290,"$6,509,230",224882,,kg,224882,N/A,
2018,X,Viet Nam,World,World,TOTAL CPC,TOTAL MOT,854290,"$81,076,784",,,kg,238345,N/A,
2018,X,Slovenia,World,World,TOTAL CPC,TOTAL MOT,854290,"$8,866",35,,kg,35,kg,35
2018,X,South Africa,World,World,TOTAL CPC,TOTAL MOT,854290,"$1,490,046",63700,,kg,63700,N/A,
2018,X,Spain,World,World,TOTAL CPC,TOTAL MOT,852352,"$109,605,725",,,N/A,,N/A,
2018,X,Spain,World,World,TOTAL CPC,TOTAL MOT,854233,"$4,583,467",6829,,N/A,,N/A,
2018,X,Spain,World,World,TOTAL CPC,TOTAL MOT,854239,"$96,026,194",179391,,N/A,,N/A,
2018,X,Spain,World,World,TOTAL CPC,TOTAL MOT,854290,"$8,989,591",164753,,kg,164753,kg,164753
2018,X,Eswatini,World,World,TOTAL CPC,TOTAL MOT,852352,$5,1,,N/A,,N/A,
2018,X,Sweden,World,World,TOTAL CPC,TOTAL MOT,852352,"$19,784,908",144949,,u,56127935,u,56127935
2018,X,Switzerland,World,World,TOTAL CPC,TOTAL MOT,852352,"$102,408,080",127771,,u,33370647,u,33297404
2018,X,Thailand,World,World,TOTAL CPC,TOTAL MOT,852352,"$12,323,167",175093,,u,71431647,u,71431647
2018,X,United Arab Emirates,World,World,TOTAL CPC,TOTAL MOT,852352,"$53,519,840",1233361,,N/A,,kg,1233361
2018,X,Tunisia,World,World,TOTAL CPC,TOTAL MOT,852352,"$23,073,993",421140,,N/A,,kg,421140
2018,X,Eswatini,World,World,TOTAL CPC,TOTAL MOT,854233,$261,45,,N/A,,N/A,
2018,X,Sweden,World,World,TOTAL CPC,TOTAL MOT,854233,"$5,220,000",,,N/A,,N/A,
